dataset,algorithm,n,k,id,time,mst_cost,min_dist,kmeans_loss,smallest_cluster,seed,min_size,min_dist_upper_bound,search_all
letter,cm,20000,26,9,18.57015872001648,5.542562614022685,2.9802322387695312e-08,6724.771739182407,260,1.0,233.0,1.2534000388352478,False
letter,cm,20000,26,9,18.57015872001648,5.542562614022685,2.9802322387695312e-08,6724.771739182407,260,1.0,233.0,1.2534000388352478,False
letter,cm,20000,26,10,19.283469676971436,5.843850578302986,2.9802322387695312e-08,7170.813059402551,276,1.0,291.0,1.2534000388352478,False
anuran,fs,7195,10,1,0.26839399337768555,2.3489962596483576,0.26009002841336937,2303.7417979117354,118,,158.0,,
anuran,fs,7195,10,2,0.3983147144317627,1.6124630177350392,0.17901284958084554,2655.4180782598405,274,,366.0,,
anuran,fs,7195,10,3,0.4574160575866699,1.4387357404600791,0.1596896412456914,2974.0030819885274,335,,447.0,,
anuran,fs,7195,10,4,0.3491551876068115,1.636925372075143,0.1817140255613155,2628.3495926198234,269,,359.0,,
anuran,fs,7195,10,5,0.29077577590942383,2.4263477371120983,0.2673681331881808,2238.1780084399115,98,,126.0,,
anuran,fs,7195,10,6,0.36817097663879395,1.6411088062337131,0.1820696595088019,2620.080647263896,268,,358.0,,
anuran,fs,7195,10,7,0.41964077949523926,1.5305002520996611,0.1699437856629984,2750.1827286882112,293,,391.0,,
anuran,fs,7195,10,8,0.371659517288208,1.6206717940764537,0.17979794896090612,2659.444150780146,273,,365.0,,
anuran,fs,7195,10,9,0.48102283477783203,1.3605972003533349,0.15111089027424474,3148.1614051149763,381,,509.0,,
anuran,fs,7195,10,10,0.4324061870574951,1.4366213155135497,0.1594594973843689,2982.2170979249986,336,,449.0,,
avila,fs,20867,12,1,1.4639489650726318,0.7663132707921329,0.06911968726295745,618.6884443986686,79,,106.0,,
avila,fs,20867,12,9,1.5266551971435547,0.7482664032095213,0.06716651633605845,567.7449252178577,92,,119.0,,
avila,fs,20867,12,9,1.5266551971435547,0.7482664032095213,0.06716651633605845,567.7449252178577,92,,119.0,,
avila,fs,20867,12,9,1.5266551971435547,0.7482664032095213,0.06716651633605845,567.7449252178577,92,,119.0,,
avila,fs,20867,12,10,1.5346193313598633,0.8018647313776393,0.07165315808672655,603.9310368934551,74,,98.0,,
avila,fs,20867,12,9,1.5266551971435547,0.7482664032095213,0.06716651633605845,567.7449252178577,92,,119.0,,
avila,fs,20867,12,9,1.5266551971435547,0.7482664032095213,0.06716651633605845,567.7449252178577,92,,119.0,,
avila,fs,20867,12,10,1.5346193313598633,0.8018647313776393,0.07165315808672655,603.9310368934551,74,,98.0,,
avila,fs,20867,12,9,1.5266551971435547,0.7482664032095213,0.06716651633605845,567.7449252178577,92,,119.0,,
avila,fs,20867,12,10,1.5346193313598633,0.8018647313776393,0.07165315808672655,603.9310368934551,74,,98.0,,
collins,fs,1000,30,1,0.031416893005371094,12.467414761997142,0.41940896521943943,407.0675381522878,7,,10.0,,
collins,fs,1000,30,7,0.06879210472106934,12.084430815386375,0.4098383214780822,406.47469290726474,8,,11.0,,
collins,fs,1000,30,3,0.07781505584716797,11.421011411925209,0.388775216774479,407.5889377506379,11,,15.0,,
collins,fs,1000,30,4,0.07068872451782227,11.835461117343728,0.4026657656222413,408.56332942606275,9,,13.0,,
collins,fs,1000,30,5,0.0587921142578125,14.46895529314546,0.4820545396808301,402.76109660870367,3,,5.0,,
collins,fs,1000,30,9,0.06519651412963867,12.785118752975192,0.42887753880662305,404.7211932718187,6,,9.0,,
collins,fs,1000,30,7,0.06879210472106934,12.084430815386375,0.4098383214780822,406.47469290726474,8,,11.0,,
